"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"1",1,"200701416","Technology Package","front wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","4","1997","150","6500","140","4300"
"2",1,"100650681","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3471","253","5800","250","3500"
"3",1,"101037425","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3664","300","6000","275","5000"
"4",1,"100773231","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2300","240","6000","260","4500"
"5",1,"100905540","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2300","240","6000","260","4500"
"6",1,"101413824","Base","front wheel drive","4","Luxury,Performance","Midsize Cars","Midsize","Car","Sedan","Car","6","3471","310","6500","272","4500"
"7",1,"100668206","Base","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","2354","205","7000","164","4500"
"8",1,"101147985","Base","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","2354","201","7000","172","4300"
"9",1,"101254327","Base","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","2354","201","7000","172","4300"
